Depth	CTD Temp	Potential Temp	Salinity	O2	AOU	Nitrate	Phosphate	Silicic Acid
2.9	14.570	14.570	33.3552	255.7	-3.0	0.13	0.25	4.1
32.9	14.556	14.551	33.3569	256.5	-3.7	0.08	0.24	3.9
58.5	14.060	14.052	33.3328	260.3	-4.9	0.09	0.25	3.6
82.8	13.993	13.982	33.4397	258.3	-2.8	0.09	0.23	3.5
108.3	13.887	13.872	33.4561	255.9	0.1	0.1	0.23	3.3
133.2	12.929	12.911	33.5060	242.8	18.2	1.95	0.39	4.3
158.4	10.417	10.399	33.5330	224.5	50.5	9.88	0.88	9.6
184.7	9.315	9.295	33.6173	219.5	62.0	14.14	1.14	14.3
208.2	8.881	8.859	33.6870	216.6	67.4	15.95	1.24	17.4
308.5	7.437	7.407	33.9311	191.1	101.7	22.45	1.64	32.8
308.8	7.436	7.406	33.9311	191.1	101.7	22.46	1.64	33.0
360.7	6.743	6.710	33.9431	161.9	135.6	26.62	1.92	43.4
409.9	6.200	6.164	33.9648	109.1	192.1	32.62	2.36	56.1
485.5	5.418	5.378	33.9775	79.9	226.8	36.89	2.64	69.7
637.1	4.482	4.434	34.1018	33.9	279.4	42.05	3.03	95.8
763.0	4.179	4.122	34.2302	13.1	302.1	43.62	3.20	110.4
967.3	3.729	3.658	34.3843	9.5	308.8	44.48	3.27	126.8
1169.6	3.254	3.171	34.4651	17.3	304.5	44.53	3.24	139.8
1371.8	2.902	2.806	34.5121	28.1	296.4	44.02	3.19	148.8
1572.9	2.549	2.441	34.5492	40.3	286.9	43.41	3.13	158.3
1769.9	2.241	2.120	34.5755	52.8	276.9	42.5	3.05	166.8
1969.5	2.039	1.904	34.6014	64.7	266.6	41.9	3.00	172.8
2175.6	1.880	1.730	34.6198	75.6	257.0	41.19	2.94	176.1
2377.8	1.788	1.623	34.6320	84.3	249.0	40.59	2.88	177.5
2581.5	1.717	1.535	34.6406	92.2	241.7	40.14	2.84	177.7
2782.1	1.656	1.457	34.6497	99.8	234.6	39.74	2.80	177.2
2982.5	1.607	1.390	34.6573	107.6	227.2	39.29	2.75	176.8
3234.3	1.562	1.321	34.6652	115.5	219.6	38.79	2.71	176.1
3494.0	1.528	1.262	34.6707	123.5	211.9	38.24	2.66	174.5
3754.0	1.508	1.215	34.6754	130.7	204.8	37.9	2.63	173.1
4012.5	1.499	1.179	34.6825	136.6	199.0	37.45	2.59	170.7
4272.0	1.504	1.155	34.6836	142.2	193.4	37.05	2.57	167.3
4531.7	1.523	1.144	34.6858	144.2	191.2	36.91	2.55	165.5
4787.2	1.547	1.137	34.6876	146.1	189.1	36.76	2.54	163.7
5044.5	1.571	1.129	34.6854	148.1	186.9	36.51	2.53	161.0
